Ссылка,Бренд,Название продукта,Цена,Рейтинг,Описание,Инструкция,Страна-производитель
https://goldapple.ru/19000331475-brace,Stereotype,Brace,8700,4.5,"BRACE. Твёрдо. Уверенно. Без сомнений.Всё началось с неуверенности. С тихого голоса, с робких шагов, с попыток найти свою опору. Но затем пришло осознание: сила уже здесь. Внутри. Она всегда была с тобой.Всё началось с неуверенности… Но теперь ты знаешь, что сила внутри тебя.Ты не ищешь подтверждений извне. Ты знаешь, кто ты. Ты чувствуешь себя спокойно, потому что твоя уверенность — не напускная, а настоящая. Она не требует доказательств, но вдохновляет других.BRACE — аромат внутренней силы. Глубокий, древесный, терпкий. Его стержень — тик и сандал, словно гладкая, отполированная временем древесина. Словно невидимая опора, постепенно раскрываясь, становится частью вас, давая ощущение силы, которая идёт изнутри.FLOW, UNFRAME, SAĜO, BRACE — как и люди, ароматы первой коллекции STEREOTYPE похожи, но несравнимы. Они принадлежат одной «ароматной вселенной» — мускусной, древесной, амбровой, пряной — но звучат по-разному. Они говорят на одном языке, но разными голосами. И каждый находит среди них тот аромат, что звучит в унисон с его внутренним миром.Парфюмер: Olaf Larsen.",только для наружного применения.,страна происхождения Франция
https://goldapple.ru/19000312618-ding-11th-floor,Noise,DING! 11TH FLOOR,9700,4.8,"Лифт в точку кульминации – на крышу, где начинается момент.Первый этаж. Двери открываются. Мягкое кашемировое пальто проскользнуло мимо, за ним – сухой шелест бумажных пакетов. Лифт трогается.Каждый этаж – новая атмосфера: гладкий микс азиатских специй и засахаренного печенья, струящийся шёлк рубашек и кремовый египетский текстиль, кедровые колодки для обуви и острые линии итальянских костюмов. Всё движется вверх: чётко, ровно, как саундтрек. Лёгкое шипение.Двери раскрываются – стеклянный купол, серое небо, резкий воздух. Одиннадцатый этаж. Бар на крыше. И это твой выход.Парфюмер: Xavier Blaizot.Аромат движется этажами вверх: сначала — искра бергамота с розовым перцем, как лёгкое шипение лифта. Дальше — смолы элеми и ладан, звучащие как деревянные панели дорогого холла.На середине пути — жасминовые ветки в массивных вазах, их свежесрезанные лепестки наполняют пространство тихой белой тишиной. Внизу остаётся сладость: ваниль и амбра — густая, дорогая, как воздух в бутике, где ткань и кашемир звучат тактильно.Финал — кедр и мускус, строгие, ровные, как линии костюма на вешалке. И вот двери распахиваются: холодный воздух крыши, шум города, бар в облаках. Одиннадцатый этаж. Твой выход.",Инструкция отсутствует,страна происхождения Франция
https://goldapple.ru/19000391661-pulsation-11-07,Neydo,Pulsation 11.07,6200,4.7,"Аромат Pulsation 11.07 — сон Салли о ночи, когда музыка и свет клубов сливаются в одно целое.Стробоскоп выхватывает из темноты лица, в воздухе смешиваются густые аккорды мёда, ладана и шалфея. Фруктовые ноты и яблоко придают сладкое волнение, а тёплый табак, амбра и кедр оставляют чувственный след. Аромат-пульс, в ритме которого невозможно устоять.Sally, 11.07. Это одна из тех ночей, что бывают только в кино или во сне. Воздух звенит от ожидания и предвкушения. Здесь возможно всё — ничто не запрещено. Я пробираюсь глубже в толпу и полностью растворяюсь в музыке. Свет стробоскопа выхватывает из темноты лица: горящие взгляды, улыбки на губах.Вдруг среди огней — взгляд. Томный, манящий. Он подходит ближе, наклоняется — и я чувствую его тепло. Его аромат окутывает меня: горячий, с едва уловимой нотой сладости, от которой сбивается пульс.Его рука медленно скользит вверх по моей — словно разряд тока. Воздух между нами становится плотным, почти осязаемым, таким, в котором легко утонуть. Сердце бешено колотится. Я тянусь к нему тоже, как будто нас соединяет невидимая нить — всё замирает на грани чего-то необратимого, всепоглощающего.Миг — всё исчезает. Гаснет свет. Стихает музыка. Остаётся только аромат, послевкусие пряной сладости, невероятно реальное, как призрак на грани восприятия.",Инструкция отсутствует,страна происхождения Франция
https://goldapple.ru/19760302818-bloody-wood,Liquides Imaginaires,BLOODY WOOD,24360,4.5,"Благородный, изысканный и яркий аромат Liquides Imaginaires напоминает вина высшей категории, которые на протяжении веков считались подарком богов, символом воскрешения и вечности. Парфюмерная композиция воспевает радости жизни и пробуждает страсть. Прохладный металл верхних нот в сочетании с  винным аккордом раскрывает истинный характер аромата. В его сердце – кроваво-красный сок из малины и вишни. Завершается композиция теплыми древесными нотами дубовой бочки, идеальной для выдержки вин.Ключевые ноты: белое вино, фруктовое красное вино, аккорд дубовой бочки.",Инструкция отсутствует,"страна происхождения Италия изготовитель: ""Liquides Imaginaires SAS"", адрес: 91 Rue du Faubourg Saint-Honoré 75008 Paris, Франция."
https://goldapple.ru/26830400003-dreaming-with-ghosts,Mark Buxton,Dreaming with Ghosts,12441,4.8,"Фантазия об особенной нежности. В поисках неожиданной красоты, потерянной в тёмном мире… Она ускользает, словно изменчивый, неуловимый фантом. Dreaming with Ghosts – это путешествие между сном и реальностью. Бодрящая айва сочетается со светлыми нотами ванили и ветивера, окутанными ароматом кожи.Основная идея – отражение нежности. Ваниль в сочетании с кожей и ветивером раскрывает мягкую чувственность, которую подчеркивают яркие цветочные ноты пиона и бархатцев. Из сна в реальность возвращает яркий фруктовый аккорд айвы, напоминающий сочетание груши и яблока.Верхние ноты: бархатцы, айваНоты сердца: пион, кожаБазовые ноты: ветивер, ваниль",Инструкция отсутствует,"страна происхождения Франция изготовитель: ""S.A.S Parfum Cosmetic World"", адрес: Aromagrasse, 45 Boulevard Marcel Pagnol, 06130 Grasse, Франция."
https://goldapple.ru/99000056818-hygge,SIU,HYGGE,18668,4.4,"Чувственная, необычная, древесная композиция раскрывается искристыми нотками ненавязчивых цитрусов, мягкого шалфея и белого мускуса. В завершение вступают умопомрачительные ноты амбры, мха и ванили. Создает ощущение прогулки по сухому смолистому лесу в ясный солнечный день.Гармоничная, универсальная композиция обволакивает, мягко садится на кожу, окутывая интимным шлейфом, словно тонкая вуаль. Аромат, который привлекает к себе внимание с первого вдоха. Таинственный, манящий, его хочется разгадывать. Свидание, вечерняя прогулка, важные переговоры - любое событие будет украшено ароматом Hygge.",Распылите аромат 3-4 раза на кожу.,"страна происхождения Франция Продавец ООО ОУСТЕР БЬЮТИ ОГРН / ОГРНИП 1222100008624 Юридический адрес Aromagrasse, 45 Bd Marcel Pagnol, 06130 Grasse, France"
https://goldapple.ru/19000206595-iris-n-wood,Birkholz,Iris N' Wood,24199,4.7,"Благородный, нежный и чистый аромат BIRKHOLZ одновременно демонстрирует и женственность, и уверенную дерзость. В этой величественной парфюмерной композиции возвышенный ирис гармонирует с яркими древесными нотами, которые подчеркивают царственный характер цветка.Изящный и в то же время сдержанный, ирис привносит как свою креативность, так и неизменное благородство.",Только для наружного применения.,"страна происхождения Германия изготовитель: ""BIRKHOLZ International GmbH"", адрес: Albert-Einstein-Ring 46, 14532 Kleinmachnow, Германия."
https://goldapple.ru/19000319551-earth-elixir,Loewe,EARTH ELIXIR,28140,5,"Универсальный, но современный, LOEWE Earth Elixir переосмысливает и усиливает оригинальную парфюмерную воду LOEWE Earth.Этот унисекс-парфюм, созданный креативным директором LOEWE Джонатаном Андерсоном в сотрудничестве с  парфюмером бренда Нурией Круэльес, раскрывает цветочные, амбровые и мускусные ноты трюфеля, груши и уда, в сочетании с элеми, мимозой и фиалкой, подчеркнутые богатыми, необработанными и подлинными аспектами аккорда LOEWE — новой ноты, основанной на сложном, древесном аромате испанского ладанника и являющейся ароматической подписью LOEWE.Семейство LOEWE Earth объединяет материальное и нематериальное. Как и LOEWE, LOEWE Perfumes базируется в Мадриде, сохраняя испанское наследие бренда, его ремесленные традиции и новаторский дух.LOEWE Earth Elixir заключен в фирменный стеклянный флакон в форме блока сиреневого оттенка с текстурированной деревянной крышкой.","Небольшое количество нанести на тело, избегая попадания в глаза.","страна происхождения Испания изготовитель: MIXER & PACK, S. L.,Испания, Carretera de Azuqueca, 9, 28880, Meco, Madrid, Spain"
https://goldapple.ru/99000051755-pluto,NICHEEND,PLUTO,16800,Рейтинг отсутствует,"Плутон - карликовая планета в поясе Койпера, представляющая собой область ледяных тел в форме пончика за орбитой Нептуна.На Плутоне, который меньше земной Луны, есть ледник в форме сердца, который представляет собой мир с голубым небом, вращающимися лунами, горами высотой со Скалистые горы и снегом, но снег этот - красный.Этот парфюм, созданный по мотивам красного снега, выпадающего на Плутоне, обогащен идеальным сочетанием гвоздики и апельсина с лилией и жасмином, сплетенным с великолепным ветивером.","Нанести на кожу, избегая попадания в глаза. Для более полного раскрытия аромата рекомендуется нанести его на точки пульса на шее, зоне декольте и запястьях.","страна происхождения Турция Продавец ООО ФРАГРАНС ИМПОРТ КО ОГРН / ОГРНИП 1247700565078 Юридический адрес Москва, 127410,ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ АЛТУФЬЕВСКИЙ, Ш АЛТУФЬЕВСКОЕ, Д. 79А, СТР. 3, ПОМЕЩ. 4А/3/2"
https://goldapple.ru/19000257278-man-rain-essence,Bvlgari,MAN RAIN ESSENCE,8032,4.8,"BVLGARI MAN RAIN ESSENCE — ода преобразующей и восстанавливающей силе дождя.Ощутите непреодолимую и созидательную энергию природного явления через свежую, древесно-мускусную композицию.Сочетание зеленого чая и апельсина, мускуса и белого лотоса, гваякового дерева и амбры оставляет бодрящий и чистый по звучанию, как летний дождь, шлейф.",Только для наружного применения.,"страна происхождения Италия изготовитель: ""BULGARI GLOBAL OPERATIONS S.A."", адрес: 34, Rue de Monruz, CH-2000 Neuchâtel, Швейцария."
